event_timestamp_utc,amount_paise,amount_log1p,payment_method,is_international,card_network,card_type,issuer,card_sub_type,payment_hour_utc,payment_day_of_week,transactions_last_10min,transactions_last_1hr,failed_attempts_last_10min,failed_attempts_last_1hr,amount_vs_merchant_avg,amount_vs_merchant_max,new_device,new_ip,velocity_score,merchant_account_age_days,merchant_transactions_prior,is_night_utc,outcome
2026-01-01T00:00:19+00:00,2289,7.736307,upi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,0.681656,0.227219,0,1,8.0,1059,0,1,0
2026-01-01T00:09:07+00:00,1151,7.049255,card,0,amex,debit,rbl,consumer,0,3,0,0,0,0,0.42804,0.14268,0,0,0.0,1004,0,1,0
2026-01-01T00:10:37+00:00,1504,7.316548,upi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,0.1905,0.0635,0,0,0.0,1002,0,1,0
2026-01-01T00:11:54+00:00,6397,8.763741,upi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,1.051965,0.350655,0,1,8.0,159,0,1,0
2026-01-01T00:12:02+00:00,9558,9.165238,card,0,mastercard,credit,kotak_mahindra,consumer,0,3,0,0,0,0,0.926253,0.308751,0,1,8.0,448,0,1,0
2026-01-01T00:15:52+00:00,7206,8.882808,upi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,2.184961,0.72832,1,0,7.0,527,0,1,0
2026-01-01T00:19:09+00:00,7751,8.955706,card,0,visa,prepaid,sbi,consumer,0,3,0,0,0,0,2.796176,0.932059,0,1,8.0,1030,0,1,1
2026-01-01T00:19:30+00:00,8705,9.071768,card,0,mastercard,debit,sbi,consumer,0,3,0,0,0,0,2.793646,0.931215,1,0,7.0,351,0,1,0
2026-01-01T00:20:46+00:00,10734,9.281265,card,0,mastercard,debit,hdfc,consumer,0,3,0,0,0,0,2.548433,0.849478,0,1,8.0,395,0,1,1
2026-01-01T00:27:33+00:00,563,6.335054,netbanking,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,0.196853,0.065618,0,0,0.0,570,0,1,0
2026-01-01T00:29:08+00:00,8960,9.100637,netbanking,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,1.852771,0.61759,1,0,7.0,525,0,1,1
2026-01-01T00:30:36+00:00,754,6.626718,card,0,visa,credit,hdfc,consumer,0,3,0,1,0,1,0.250574,0.090669,0,1,15.2,1030,1,1,0
2026-01-01T00:31:48+00:00,3236,8.082402,card,0,mastercard,credit,indusind,consumer,0,3,0,0,0,0,0.359236,0.119745,0,1,8.0,92,0,1,0
2026-01-01T00:32:30+00:00,532,6.278521,card,0,amex,debit,yes_bank,business,0,3,0,0,0,0,0.087299,0.0291,1,0,7.0,86,0,1,0
2026-01-01T00:33:25+00:00,1090,6.99485,card,0,rupay,debit,kotak_mahindra,consumer,0,3,0,0,0,0,0.500689,0.166896,0,1,8.0,615,0,1,0
2026-01-01T00:34:19+00:00,18708,9.83676,card,0,rupay,credit,rbl,consumer,0,3,0,0,0,0,4.535273,1.511758,0,1,8.0,593,0,1,1
2026-01-01T00:39:10+00:00,12521,9.435242,emi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,2.759145,0.919715,0,0,0.0,1030,0,1,0
2026-01-01T00:53:42+00:00,5036,8.524566,pay_later,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,0.794071,0.26469,0,0,0.0,966,0,1,1
2026-01-01T00:58:01+00:00,3973,8.287528,upi,0,unknown,unknown,unknown,unknown,0,3,0,0,0,0,1.055526,0.351842,0,1,8.0,644,0,1,1
2026-01-01T01:01:02+00:00,6039,8.706159,emi,0,unknown,unknown,unknown,unknown,1,3,0,0,0,0,0.822752,0.274251,0,1,8.0,397,0,1,1
2026-01-01T01:05:01+00:00,416,6.033086,card,1,mastercard,debit,yes_bank,business,1,3,0,0,0,0,0.089636,0.029879,0,0,0.0,180,0,1,0
2026-01-01T01:06:11+00:00,5609,8.632306,upi,0,unknown,unknown,unknown,unknown,1,3,0,0,0,0,1.604405,0.534802,1,0,7.0,1046,0,1,0
