amount,payment_method,is_international,card_network,card_type,issuer,outcome
100,netbanking,0,NA,NA,NA,0
100,card,0,RuPay,credit,Kotak Mahindra,0
100,card,0,RuPay,credit,Bank of Baroda,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,netbanking,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,card,0,Discover,credit,Axis,0
100,netbanking,0,NA,NA,NA,0
100,card,0,Mastercard,prepaid,IDFC First,0
100,emi,0,Visa,credit,Kotak Mahindra,0
100,emi,0,Visa,prepaid,IDFC First,0
100,netbanking,0,NA,NA,NA,0
100,emi,0,Mastercard,credit,Federal Bank,0
100,upi,0,NA,NA,NA,0
100,card,0,American Express,debit,Federal Bank,1
100,card,0,Visa,debit,Axis,0
100,upi,0,NA,NA,NA,0
100,netbanking,0,NA,NA,NA,0
100,card,0,Visa,credit,Yes Bank,0
100,wallet,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,card,0,Visa,credit,Axis,0
100,upi,0,NA,NA,NA,0
100,netbanking,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,card,0,RuPay,credit,HDFC,0
100,card,0,Visa,credit,IDFC First,0
100,upi,0,NA,NA,NA,0
100,card,0,Mastercard,debit,Canara Bank,0
100,wallet,0,NA,NA,NA,0
100,card,0,Mastercard,credit,ICICI,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,pay later,0,NA,NA,NA,0
100,card,0,American Express,credit,IndusInd,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,1
100,emi,0,Mastercard,debit,Bank of Baroda,1
100,emi,0,Visa,debit,SBI,0
100,netbanking,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
100,upi,0,NA,NA,NA,0
