amount_paise,amount_log1p,payment_method,is_international,card_network,card_type,issuer,card_sub_type,payment_hour_utc,payment_day_of_week,outcome
2056,7.629004,upi,0,unknown,unknown,unknown,unknown,0,6,0
1280,7.155396,upi,0,unknown,unknown,unknown,unknown,21,0,0
4079,8.313852,card,0,visa,debit,sbi,consumer,10,5,0
10519,9.261033,card,1,mastercard,credit,rbl,consumer,16,4,1
2596,7.862112,upi,0,unknown,unknown,unknown,unknown,12,2,0
1223,7.109879,card,0,rupay,credit,yes_bank,consumer,10,0,0
4720,8.459776,emi,0,unknown,unknown,unknown,unknown,13,4,0
1605,7.381502,emi,0,unknown,unknown,unknown,unknown,4,5,0
2214,7.703008,card,1,rupay,debit,yes_bank,consumer,23,1,0
10387,9.248407,card,0,mastercard,debit,rbl,consumer,1,1,0
1611,7.385231,card,0,mastercard,credit,rbl,consumer,3,2,0
30912,10.338932,emi,0,unknown,unknown,unknown,unknown,1,6,1
1429,7.26543,upi,0,unknown,unknown,unknown,unknown,16,2,0
1409,7.251345,wallet,0,unknown,unknown,unknown,unknown,8,6,0
2433,7.797291,netbanking,0,unknown,unknown,unknown,unknown,11,5,0
3919,8.273847,netbanking,0,unknown,unknown,unknown,unknown,2,5,0
13013,9.473781,upi,0,unknown,unknown,unknown,unknown,3,2,0
6251,8.740657,netbanking,0,unknown,unknown,unknown,unknown,16,2,0
1675,7.424165,card,0,mastercard,credit,hdfc,consumer,16,5,0
1901,7.550661,card,0,mastercard,debit,indusind,consumer,8,6,0
2743,7.917172,card,0,visa,debit,icici,consumer,13,4,0
1526,7.33106,card,0,visa,prepaid,indusind,consumer,20,1,0
3949,8.281471,card,0,rupay,debit,sbi,consumer,2,0,0
192,5.26269,card,1,mastercard,credit,indusind,consumer,10,1,0
5065,8.530307,pay_later,0,unknown,unknown,unknown,unknown,2,0,0
4039,8.304,upi,0,unknown,unknown,unknown,unknown,7,2,0
1059,6.966024,upi,0,unknown,unknown,unknown,unknown,6,4,0
5932,8.688285,card,0,mastercard,debit,kotak_mahindra,consumer,13,5,0
6291,8.747034,emi,1,unknown,unknown,unknown,unknown,9,1,1
11929,9.386812,emi,0,unknown,unknown,unknown,unknown,15,5,0
4323,8.371936,upi,0,unknown,unknown,unknown,unknown,16,5,0
642,6.466145,card,1,visa,credit,yes_bank,consumer,21,6,0
901,6.804615,card,0,visa,credit,sbi,consumer,17,0,0
21029,9.953705,upi,1,unknown,unknown,unknown,unknown,1,4,1
877,6.777647,upi,0,unknown,unknown,unknown,unknown,14,3,0
1889,7.544332,upi,0,unknown,unknown,unknown,unknown,20,4,0
7323,8.898912,upi,0,unknown,unknown,unknown,unknown,22,5,0
9043,9.109857,card,0,rupay,credit,axis,consumer,13,0,0
2001,7.601902,upi,0,unknown,unknown,unknown,unknown,22,1,0
2166,7.681099,card,0,visa,debit,rbl,consumer,9,3,0
691,6.539586,upi,0,unknown,unknown,unknown,unknown,7,3,0
1272,7.149132,emi,0,unknown,unknown,unknown,unknown,23,5,0
3797,8.24223,upi,0,unknown,unknown,unknown,unknown,8,3,0
5044,8.526153,upi,0,unknown,unknown,unknown,unknown,9,4,0
15264,9.633318,card,0,mastercard,debit,axis,consumer,13,2,0
8510,9.049115,upi,0,unknown,unknown,unknown,unknown,3,0,0
